
Plan du site Web. Les titres. CIBLE

	Dans la Bible en Hébreu : Grammaire, Mots, Thèmes ...		
N°	DOSSIERS	CODE	Remarques
1	Grammaire Hebraique		
2	Mots et Themes bibliques		

	Grammaire Hebraique		
N°	DOSSIERS	CODE	Remarques
1	A.Elements de base de la Grammaire		
2	B.Les Verbes. Repertoire lexical		
3	C.Les Verbes.Tableaux des conjugaisons		
4	CD.Les te'amim, pour savourer l'hebreu		
5	D.Autres dossiers (de grammaire)		
6	E.Memoire sur le Waw conversif		

	A.Elements de base de la Grammaire		
N°	Documents	CODE	Remarques
1	3.000 Liste codee des tableaux de conjugaison	3.000	6 pages
2	cours Grammaire assemble		77 pages
3	Les alphabets bibliques.Hebreu et Grec		1 page. Couleurs

	B.Les Verbes. Repertoire lexical		
N°	Documents	CODE	Remarques
1	3.0 Repertoire lexical des verbes hebreux	3.0	Repertoire 131 p.
2	3.0+S Supplement lexique arameen	3.0+S	Repertoire 7 p.

	C.Les Verbes.Tableaux des conjugaisons		
N°	DOSSIERS	CODE	Remarques
1	3.0 Generalite. Les binyanim	3.0	
2	3.1 Conjugaison theorique et verbe Shalem	3.1	
3	3.2 Verbe avec Gutturale	3.2	
4	3.3 Verbe avec Alef quiescent	3.3	
5	3.4 Verbe avec Nun	3.4	
6	3.5 Verbe avec Yod ou Waw	3.5	
7	3.6 Verbe Gemine. Ayin-Ayin	3.6	
8	3.7 Verbes complexes	3.7	
9	3.8 Verbes hybrides	3.8	
10	3.9 Verbes irreguliers ou a probleme	3.9	

	3.0 Generalite. Les binyanim	3.0	
N°	Documents	CODE	Remarques
1	3.000 Liste codee des tableaux de conjugaison	3.000	6 p.
2	3.010 Tableau des binyanim	3.010	2 p.
3	3.011.R Sens compare paal piel hifil	3.011.R	Repertoire 3 p.
4	3.020 Bases vocaliques des binyanim	3.020	2 p.
5	3.030 Les pronoms personnels	3.030	1 p.

	3.1 Conjugaison theorique et verbe Shalem	3.1	
N°	DOSSIERS	CODE	Remarques
1	3.10 La conjugaison theorique	3.10	
2	3.11 La conjugaison par binyan	3.11	
3	3.12 Verbe Shalem simplifie	3.12	
4	3.13 Verbe Shalem detaille	3.13	
5	3.14 Verbe Shalem avec suffixes personnels	3.14	
6	3.15 Verbe quasi Shalem	3.15	

	3.10 La conjugaison theorique	3.10	
N°	Documents	CODE	Remarques
1	3.100 conjugaison theorique	3.100	
