
Plan du site Web. Les titres.

	Dans la Bible en Hébreu : Grammaire, Mots, Thèmes ...		
N°	DOSSIERS	CODE	Remarques
1	Grammaire Hébraïque§1		
2	Mots et Thèmes bibliques§1		

	Grammaire Hébraïque		
N°	DOSSIERS	CODE	Remarques
1	Éléments de base de la grammaire§1		
2	Les verbes. Répertoire lexical§1		
3	Les verbes. Tableaux des conjugaisons§1		
4	Les te'amim, pour "savourer" l'hébreu§1		
5	Autres dossiers (de grammaire)§1		
6	Mémoire sur le "Waw conversif"§1		

	Eléments de base de la Grammaire		
N°	Documents	CODE	Remarques
1	►Liste codée des tableaux de conjugaison§2	3.000§3	6 p.§4
2	►►Petit cours : éléments de base pour une grammaire de l'hébreu§3		77 p.§4
3	Les alphabets bibliques : Hébreu et Grec§4		1 p. Couleurs§4

	Les verbes. Répertoire lexical		
N°	Documents	CODE	Remarques
1	►►Répertoire lexical des verbes (hébreux) de la Bible Hébraïque§3	3.0§3	Répertoire 131 p.§4
2	Supplément : Répertoire des verbes araméens de la Bible§4	3.0+S§4	Répertoire 7 p.§4

	Verbes.Tableaux des conjugaisons		
N°	DOSSIERS	CODE	Remarques
1	3.0 - Généralités. Les binyanîm§1	3.0§1	
2	3.1 - La conjugaison théorique et le verbe shalém§1	3.1§1	
3	3.2 - Le verbe avec gutturale (גּ׳ = gutturale)§1	3.2§1	
4	3.3 - Le verbe avec un Alef quiescent§1	3.3§1	
5	3.4 - Le verbe avec un Nun (פ״ן = Pé"Nun)§1	3.4§1	
6	3.5 - Le verbe avec un Yod ou un Waw (y compris ל״ה = Lamed"Hé)§1	3.5§1	
7	3.6 - Le verbe géminé (ע״ע = Ayin"Ayin)§1	3.6§1	
8	3.7 - Les verbes complexes§1	3.7§1	
9	3.8 - Les verbes "hybrides" (ou défectifs)§1	3.8§1	
10	3.9 - Les verbes irréguliers ou "à problème"§1	3.9§1	

	Généralités. Les binyanîm	3.0	
N°	Documents	CODE	Remarques
1	►►Liste codée des tableaux de conjugaison§3	3.000§3	6 p.§4
2	►►Tableau des binyanîm§3	3.010§3	2 p.§4
3	Sens comparé des binyanîm pa'al, pi'él et hi'fil§4	3.011.R§4	Répertoire 3 p.§4
4	►Les 3 bases vocaliques des 7 binyanîm§2	3.020§2	2 p.§4
5	►Les pronoms personnels de divers types§2	3.030§2	1 p.§4

	La conjugaison théorique et le verbe shalém	3.1	
